,total_rainfall,no_of_rainy_days,year,month
0,107.1,10,1982,1
1,27.8,5,1982,2
2,160.8,11,1982,3
3,157.0,14,1982,4
4,102.2,10,1982,5
5,59.5,8,1982,6
6,76.3,8,1982,7
7,169.5,11,1982,8
8,54.1,9,1982,9
9,39.3,10,1982,10
10,134.0,13,1982,11
11,494.1,21,1982,12
12,246.0,18,1983,1
13,5.6,2,1983,2
14,18.6,2,1983,3
15,33.6,4,1983,4
16,160.8,11,1983,5
17,94.0,11,1983,6
18,190.0,18,1983,7
19,262.2,10,1983,8
20,170.8,18,1983,9
21,212.7,17,1983,10
22,228.8,18,1983,11
23,370.6,16,1983,12
24,251.2,18,1984,1
25,470.4,19,1984,2
26,361.3,19,1984,3
27,153.1,17,1984,4
28,186.5,12,1984,5
29,255.0,14,1984,6
30,127.2,12,1984,7
31,102.7,13,1984,8
32,186.7,17,1984,9
33,187.5,11,1984,10
34,127.7,17,1984,11
35,277.4,22,1984,12
36,111.1,7,1985,1
37,79.3,11,1985,2
38,88.0,13,1985,3
39,110.5,14,1985,4
40,70.1,12,1985,5
41,37.0,14,1985,6
42,131.8,17,1985,7
43,56.9,11,1985,8
44,110.7,18,1985,9
45,169.0,21,1985,10
46,179.4,21,1985,11
47,340.1,22,1985,12
48,308.2,13,1986,1
49,26.7,2,1986,2
50,353.4,17,1986,3
51,150.0,14,1986,4
52,145.1,13,1986,5
53,122.9,13,1986,6
54,109.7,12,1986,7
55,72.9,11,1986,8
56,396.0,22,1986,9
57,227.3,20,1986,10
58,256.7,21,1986,11
59,367.2,16,1986,12
60,568.6,16,1987,1
61,86.9,7,1987,2
62,132.5,12,1987,3
63,72.5,10,1987,4
64,270.0,16,1987,5
65,126.6,15,1987,6
66,80.9,11,1987,7
67,191.9,16,1987,8
68,129.9,11,1987,9
69,22.6,9,1987,10
70,347.6,17,1987,11
71,72.8,11,1987,12
72,237.5,15,1988,1
73,158.1,9,1988,2
74,186.8,15,1988,3
75,109.6,13,1988,4
76,229.6,14,1988,5
77,252.2,13,1988,6
78,305.4,15,1988,7
79,80.1,14,1988,8
80,440.4,14,1988,9
81,134.6,17,1988,10
82,401.4,23,1988,11
83,62.9,11,1988,12
84,189.7,10,1989,1
85,52.4,3,1989,2
86,305.9,21,1989,3
87,198.6,17,1989,4
88,194.0,12,1989,5
89,117.6,12,1989,6
90,157.6,12,1989,7
91,201.0,18,1989,8
92,247.3,14,1989,9
93,111.0,16,1989,10
94,508.4,20,1989,11
95,179.7,18,1989,12
96,147.4,13,1990,1
97,24.1,8,1990,2
98,94.2,4,1990,3
99,52.4,10,1990,4
100,180.1,11,1990,5
101,112.6,9,1990,6
102,124.0,12,1990,7
103,146.6,13,1990,8
104,204.5,17,1990,9
105,56.4,12,1990,10
106,180.4,17,1990,11
107,201.1,16,1990,12
108,123.9,13,1991,1
109,45.5,7,1991,2
110,92.4,10,1991,3
111,134.2,13,1991,4
112,256.4,23,1991,5
113,88.7,9,1991,6
114,37.3,8,1991,7
115,226.2,8,1991,8
116,123.1,12,1991,9
117,52.0,5,1991,10
118,205.0,19,1991,11
119,492.3,19,1991,12
120,83.9,9,1992,1
121,62.4,4,1992,2
122,67.6,6,1992,3
123,160.3,13,1992,4
124,63.1,13,1992,5
125,162.8,14,1992,6
126,290.8,19,1992,7
127,76.1,11,1992,8
128,83.6,13,1992,9
129,233.2,20,1992,10
130,474.3,18,1992,11
131,502.7,23,1992,12
132,176.4,11,1993,1
133,69.2,8,1993,2
134,250.5,14,1993,3
135,283.9,20,1993,4
136,129.9,10,1993,5
137,115.5,17,1993,6
138,240.0,15,1993,7
139,106.8,11,1993,8
140,61.7,7,1993,9
141,175.5,13,1993,10
142,250.8,18,1993,11
143,308.5,19,1993,12
144,56.9,7,1994,1
145,133.5,15,1994,2
146,288.2,19,1994,3
147,154.0,15,1994,4
148,169.6,16,1994,5
149,184.7,14,1994,6
150,53.8,6,1994,7
151,45.1,12,1994,8
152,23.7,6,1994,9
153,84.7,11,1994,10
154,322.2,21,1994,11
155,425.4,18,1994,12
156,349.4,21,1995,1
157,334.0,16,1995,2
158,67.7,10,1995,3
159,242.3,16,1995,4
160,84.4,11,1995,5
161,63.7,12,1995,6
162,173.6,13,1995,7
163,211.6,21,1995,8
164,29.5,7,1995,9
165,101.1,12,1995,10
166,372.8,20,1995,11
167,302.5,20,1995,12
168,173.2,10,1996,1
169,180.2,11,1996,2
170,129.7,8,1996,3
171,178.2,15,1996,4
172,107.5,15,1996,5
173,265.8,15,1996,6
174,162.3,10,1996,7
175,258.4,18,1996,8
176,297.0,18,1996,9
177,300.0,19,1996,10
178,180.2,16,1996,11
179,185.5,15,1996,12
180,15.4,3,1997,1
181,105.4,8,1997,2
182,34.3,10,1997,3
183,118.4,12,1997,4
184,41.6,6,1997,5
185,78.9,12,1997,6
186,18.6,9,1997,7
187,86.6,9,1997,8
188,31.1,3,1997,9
189,78.4,8,1997,10
190,158.3,13,1997,11
191,351.9,23,1997,12
192,268.8,13,1998,1
193,32.5,5,1998,2
194,58.8,7,1998,3
195,187.7,13,1998,4
196,370.8,18,1998,5
197,198.8,15,1998,6
198,259.2,18,1998,7
199,195.0,18,1998,8
200,258.2,17,1998,9
201,222.7,20,1998,10
202,107.2,11,1998,11
203,463.4,22,1998,12
204,193.9,19,1999,1
205,67.4,9,1999,2
206,181.4,16,1999,3
207,88.5,14,1999,4
208,157.1,13,1999,5
209,103.4,13,1999,6
210,225.4,11,1999,7
211,204.0,13,1999,8
212,125.9,13,1999,9
213,205.0,20,1999,10
214,241.5,19,1999,11
215,340.5,17,1999,12
216,275.2,14,2000,1
217,237.8,18,2000,2
218,238.3,15,2000,3
219,311.6,20,2000,4
220,96.8,10,2000,5
221,157.5,16,2000,6
222,116.1,12,2000,7
223,113.5,18,2000,8
224,81.1,12,2000,9
225,120.9,14,2000,10
226,385.7,21,2000,11
227,236.0,18,2000,12
228,425.8,21,2001,1
229,86.6,11,2001,2
230,297.3,20,2001,3
231,203.3,18,2001,4
232,164.9,12,2001,5
233,137.1,11,2001,6
234,111.3,9,2001,7
235,158.3,14,2001,8
236,162.0,13,2001,9
237,252.2,20,2001,10
238,175.3,15,2001,11
239,609.0,20,2001,12
240,221.2,11,2002,1
241,50.8,2,2002,2
242,55.6,8,2002,3
243,116.5,13,2002,4
244,236.6,13,2002,5
245,83.1,12,2002,6
246,233.7,11,2002,7
247,54.2,14,2002,8
248,124.2,9,2002,9
249,10.8,7,2002,10
250,307.2,15,2002,11
251,255.0,24,2002,12
252,444.2,20,2003,1
253,172.9,13,2003,2
254,154.6,11,2003,3
255,159.9,20,2003,4
256,81.8,11,2003,5
257,50.3,12,2003,6
258,170.4,14,2003,7
259,193.6,13,2003,8
260,205.3,15,2003,9
261,351.4,21,2003,10
262,133.8,19,2003,11
263,273.0,17,2003,12
264,600.9,13,2004,1
265,31.9,4,2004,2
266,269.4,16,2004,3
267,57.1,9,2004,4
268,137.6,13,2004,5
269,127.2,8,2004,6
270,166.6,20,2004,7
271,185.2,8,2004,8
272,128.9,14,2004,9
273,125.6,13,2004,10
274,166.2,15,2004,11
275,139.8,14,2004,12
276,163.2,8,2005,1
277,8.4,3,2005,2
278,82.4,12,2005,3
279,81.7,10,2005,4
280,331.1,20,2005,5
281,82.3,15,2005,6
282,104.0,15,2005,7
283,58.5,13,2005,8
284,175.7,18,2005,9
285,314.5,19,2005,10
286,362.9,23,2005,11
287,166.0,19,2005,12
288,454.4,20,2006,1
289,115.5,8,2006,2
290,83.1,9,2006,3
291,239.8,18,2006,4
292,205.7,14,2006,5
293,236.8,16,2006,6
294,153.8,15,2006,7
295,127.3,14,2006,8
296,83.3,12,2006,9
297,102.0,8,2006,10
298,185.6,18,2006,11
299,765.9,22,2006,12
300,450.1,20,2007,1
301,105.5,3,2007,2
302,269.1,21,2007,3
303,240.2,14,2007,4
304,127.2,16,2007,5
305,139.0,12,2007,6
306,141.7,19,2007,7
307,190.7,20,2007,8
308,149.0,13,2007,9
309,237.2,16,2007,10
310,367.9,21,2007,11
311,468.6,20,2007,12
312,262.6,19,2008,1
313,129.2,8,2008,2
314,294.1,16,2008,3
315,87.2,13,2008,4
316,124.9,11,2008,5
317,118.3,12,2008,6
318,89.1,15,2008,7
319,327.3,18,2008,8
320,164.4,18,2008,9
321,159.5,19,2008,10
322,324.3,16,2008,11
323,244.2,17,2008,12
324,38.3,5,2009,1
325,201.8,8,2009,2
326,223.3,19,2009,3
327,183.7,12,2009,4
328,198.6,17,2009,5
329,21.8,8,2009,6
330,161.0,16,2009,7
331,177.8,12,2009,8
332,109.6,13,2009,9
333,133.4,15,2009,10
334,281.8,23,2009,11
335,189.8,18,2009,12
336,69.5,10,2010,1
337,6.3,4,2010,2
338,238.0,11,2010,3
339,158.5,18,2010,4
340,157.5,17,2010,5
341,240.5,19,2010,6
342,298.5,18,2010,7
343,158.4,16,2010,8
344,121.5,13,2010,9
345,166.2,17,2010,10
346,278.8,21,2010,11
347,181.4,14,2010,12
348,513.2,17,2011,1
349,23.0,8,2011,2
350,256.6,22,2011,3
351,217.8,12,2011,4
352,127.0,15,2011,5
353,213.0,15,2011,6
354,76.6,7,2011,7
355,81.4,13,2011,8
356,136.4,14,2011,9
357,216.8,20,2011,10
358,377.8,24,2011,11
359,284.6,21,2011,12
360,106.1,16,2012,1
361,83.6,11,2012,2
362,313.4,21,2012,3
363,260.6,20,2012,4
364,292.0,19,2012,5
365,53.0,8,2012,6
366,130.8,17,2012,7
367,119.0,12,2012,8
368,107.6,10,2012,9
369,122.2,13,2012,10
370,208.2,22,2012,11
371,363.4,22,2012,12
372,262.0,15,2013,1
373,395.2,22,2013,2
374,85.8,10,2013,3
375,159.4,19,2013,4
376,211.4,17,2013,5
377,111.4,12,2013,6
378,174.6,15,2013,7
379,165.6,15,2013,8
380,257.0,19,2013,9
381,285.4,19,2013,10
382,292.4,22,2013,11
383,348.2,21,2013,12
384,75.4,5,2014,1
385,0.2,1,2014,2
386,66.0,6,2014,3
387,110.0,17,2014,4
388,125.8,18,2014,5
389,71.4,11,2014,6
390,148.6,15,2014,7
391,241.0,20,2014,8
392,83.6,9,2014,9
393,120.0,10,2014,10
394,250.8,23,2014,11
395,245.6,17,2014,12
396,79.6,6,2015,1
397,18.8,6,2015,2
398,84.4,5,2015,3
399,73.2,13,2015,4
400,89.0,12,2015,5
401,95.8,10,2015,6
402,116.8,13,2015,7
403,185.8,11,2015,8
404,61.6,8,2015,9
405,87.2,9,2015,10
406,72.6,13,2015,11
407,302.3,19,2015,12
408,126.6,15,2016,1
409,186.0,10,2016,2
410,6.2,6,2016,3
411,89.8,14,2016,4
412,193.8,12,2016,5
413,162.8,13,2016,6
414,168.6,20,2016,7
415,139.2,15,2016,8
416,118.9,15,2016,9
417,181.0,16,2016,10
418,290.2,20,2016,11
419,292.6,23,2016,12
420,197.6,21,2017,1
421,158.4,15,2017,2
422,136.2,11,2017,3
423,208.6,21,2017,4
424,190.0,15,2017,5
425,106.0,10,2017,6
426,79.6,9,2017,7
427,84.2,18,2017,8
428,124.4,19,2017,9
429,120.8,18,2017,10
430,268.6,24,2017,11
431,371.2,23,2017,12
432,287.0,25,2018,1
433,14.8,5,2018,2
434,44.6,10,2018,3
435,61.2,14,2018,4
436,132.2,19,2018,5
437,182.6,17,2018,6
438,143.2,10,2018,7
439,121.6,11,2018,8
440,144.4,13,2018,9
441,234.4,18,2018,10
442,169.6,27,2018,11
443,172.6,19,2018,12
444,63.6,9,2019,1
445,31.6,5,2019,2
446,72.2,6,2019,3
447,174.8,9,2019,4
448,69.0,13,2019,5
449,173.8,16,2019,6
450,12.2,8,2019,7
451,11.8,6,2019,8
452,22.8,4,2019,9
453,176.8,15,2019,10
454,137.4,15,2019,11
455,421.5,14,2019,12
456,88.4,6,2020,1
457,65.0,8,2020,2
458,108.8,8,2020,3
459,188.0,12,2020,4
460,255.6,16,2020,5
461,233.8,21,2020,6
462,140.8,22,2020,7
463,103.4,12,2020,8
464,150.2,18,2020,9
465,78.8,16,2020,10
466,220.6,19,2020,11
467,253.2,20,2020,12
468,692.8,17,2021,1
469,1.0,2,2021,2
470,182.4,14,2021,3
471,290.4,14,2021,4
472,245.8,13,2021,5
473,93.4,20,2021,6
474,195.8,12,2021,7
475,293.6,24,2021,8
476,205.4,14,2021,9
477,177.0,14,2021,10
478,312.4,23,2021,11
479,119.6,15,2021,12
480,99.8,9,2022,1
481,175.0,16,2022,2
482,163.2,21,2022,3
483,239.6,18,2022,4
484,102.0,12,2022,5
485,211.8,17,2022,6
486,145.2,16,2022,7
487,141.4,15,2022,8
